State,Crime_Head,Year,Count
Uttar Pradesh,Kidnapping & Abduction of Women & Grils,2013,9737
Uttarakhand,Kidnapping & Abduction of Women & Grils,2013,633
West Bengal,Kidnapping & Abduction of Women & Grils,2013,3830
Total (State),Kidnapping & Abduction of Women & Grils,2013,48044
A&N Islands,Kidnapping & Abduction of Women & Grils,2013,12
Chandigarh,Kidnapping & Abduction of Women & Grils,2013,174
D&N Haveli,Kidnapping & Abduction of Women & Grils,2013,11
Daman & Diu,Kidnapping & Abduction of Women & Grils,2013,6
Delhi UT,Kidnapping & Abduction of Women & Grils,2013,3609
Lakshadweep,Kidnapping & Abduction of Women & Grils,2013,0
Puducherry,Kidnapping & Abduction of Women & Grils,2013,25
Total (UTs),Kidnapping & Abduction of Women & Grils,2013,3837
Total (All-India),Kidnapping & Abduction of Women & Grils,2013,51881
Andhra Pradesh,Rape,2013,1635
Arunachal Pradesh,Rape,2013,75
Assam,Rape,2013,1937
Bihar,Rape,2013,1128
Chhattisgarh,Rape,2013,1380
Goa,Rape,2013,86
Gujarat,Rape,2013,732
Haryana,Rape,2013,971
Himachal Pradesh,Rape,2013,250
Jammu & Kashmir,Rape,2013,378
Jharkhand,Rape,2013,1204
Karnataka,Rape,2013,1030
Kerala,Rape,2013,1221
Madhya Pradesh,Rape,2013,4335
Maharashtra,Rape,2013,3063
Manipur,Rape,2013,72
Meghalaya,Rape,2013,183
Mizoram,Rape,2013,89
Nagaland,Rape,2013,31
Odisha,Rape,2013,1832
Punjab,Rape,2013,888
Rajasthan,Rape,2013,3285
Sikkim,Rape,2013,43
Tamil Nadu,Rape,2013,923
Tripura,Rape,2013,233
Uttar Pradesh,Rape,2013,3050
Uttarakhand,Rape,2013,228
West Bengal,Rape,2013,1685
Total (State),Rape,2013,31967
A&N Islands,Rape,2013,27
Chandigarh,Rape,2013,45
D&N Haveli,Rape,2013,5
Daman & Diu,Rape,2013,8
Delhi UT,Rape,2013,1636
Lakshadweep,Rape,2013,2
Puducherry,Rape,2013,17
Total (UTs),Rape,2013,1740
Total (All-India),Rape,2013,33707
Andhra Pradesh,Total Crimes against Women,2013,32809
Arunachal Pradesh,Total Crimes against Women,2013,288
Assam,Total Crimes against Women,2013,17449
Bihar,Total Crimes against Women,2013,13609
Chhattisgarh,Total Crimes against Women,2013,7012
Goa,Total Crimes against Women,2013,440
Gujarat,Total Crimes against Women,2013,12283
Haryana,Total Crimes against Women,2013,9089
Himachal Pradesh,Total Crimes against Women,2013,1478
Jammu & Kashmir,Total Crimes against Women,2013,3509
Jharkhand,Total Crimes against Women,2013,6506
Karnataka,Total Crimes against Women,2013,12027
Kerala,Total Crimes against Women,2013,11216
Madhya Pradesh,Total Crimes against Women,2013,22061
Maharashtra,Total Crimes against Women,2013,24895
Manipur,Total Crimes against Women,2013,285
Meghalaya,Total Crimes against Women,2013,343
Mizoram,Total Crimes against Women,2013,177
Nagaland,Total Crimes against Women,2013,67
Odisha,Total Crimes against Women,2013,14173
Punjab,Total Crimes against Women,2013,4994
Rajasthan,Total Crimes against Women,2013,27933
Sikkim,Total Crimes against Women,2013,93
Tamil Nadu,Total Crimes against Women,2013,7475
Tripura,Total Crimes against Women,2013,1628
Uttar Pradesh,Total Crimes against Women,2013,32546
Uttarakhand,Total Crimes against Women,2013,1719
West Bengal,Total Crimes against Women,2013,29826
Total (State),Total Crimes against Women,2013,295930
A&N Islands,Total Crimes against Women,2013,106
Chandigarh,Total Crimes against Women,2013,488
D&N Haveli,Total Crimes against Women,2013,21
Daman & Diu,Total Crimes against Women,2013,24
Delhi UT,Total Crimes against Women,2013,12888
Lakshadweep,Total Crimes against Women,2013,3
Puducherry,Total Crimes against Women,2013,86
Total (UTs),Total Crimes against Women,2013,13616
Total (All-India),Total Crimes against Women,2013,309546
Andhra Pradesh,1 - Rape (Section 376 IPC),2014,961
Andhra Pradesh,1.1 - Custodial Rape,2014,0
Andhra Pradesh,1.1.1 - Custodial_Gang Rape,2014,0
Andhra Pradesh,1.1.2 - Custodial_Other Rape,2014,0
Andhra Pradesh,1.2 - Rape other than Custodial,2014,961
Andhra Pradesh,1.2.1 - Rape_Gang Rape,2014,14
Andhra Pradesh,1.2.2 - Rape_Others,2014,947
Andhra Pradesh,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,165
Andhra Pradesh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,721
Andhra Pradesh,3.1 - Kidnaping & Abduction Section 363 IPC,2014,180
Andhra Pradesh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,1
Andhra Pradesh,3.3 - Kidnapping for Ransom Section 364A,2014,3
Andhra Pradesh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,274
Andhra Pradesh,3.5 - Kidnapping & Abduction of Women-Other,2014,263
Andhra Pradesh,4 - Dowry Deaths (Section 304-B IPC),2014,215
Andhra Pradesh,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,4547
Andhra Pradesh,5.1 - Sexual Harassment,2014,1072
Andhra Pradesh,5.2 - Assault on women with intent to Disrobe,2014,334
Andhra Pradesh,5.3 - Voyeurism,2014,71
Andhra Pradesh,5.4 - Stalking,2014,504
Andhra Pradesh,5.5 - Others,2014,2566
Andhra Pradesh,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,2649
Andhra Pradesh,6.1 - At Office premises,2014,3
Andhra Pradesh,6.2 - Other places related to work,2014,84
Andhra Pradesh,6.3 - In Public Transport system,2014,65
Andhra Pradesh,6.4 - in Other Places,2014,2497
Andhra Pradesh,7 - Cruelty by Husband or his Relatives (Section 498A),2014,6362
Andhra Pradesh,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0
Andhra Pradesh,9 - Abetment of Suicides of Women u/s 306 IPC,2014,217
Andhra Pradesh,"10 - Dowry Prohibition Act, 1961",2014,468
Andhra Pradesh,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,3
Andhra Pradesh,12 - Commission of Sati Prevention Act 1987,2014,0
Andhra Pradesh,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0
Andhra Pradesh,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,204
Andhra Pradesh,14.1 - Under ITP Section 5,2014,23
Andhra Pradesh,14.2 - Under ITP Section 6,2014,0
Andhra Pradesh,14.3 - Under ITP Section 7,2014,0
Andhra Pradesh,14.4 - Under ITP Section 8,2014,2
Andhra Pradesh,14.5 - Other Sections under ITP Act,2014,179
Andhra Pradesh,15 - Total Crimes against Women,2014,16512
Arunachal Pradesh,1 - Rape (Section 376 IPC),2014,83
Arunachal Pradesh,1.1 - Custodial Rape,2014,4
Arunachal Pradesh,1.1.1 - Custodial_Gang Rape,2014,0
Arunachal Pradesh,1.1.2 - Custodial_Other Rape,2014,4
Arunachal Pradesh,1.2 - Rape other than Custodial,2014,79
Arunachal Pradesh,1.2.1 - Rape_Gang Rape,2014,5
Arunachal Pradesh,1.2.2 - Rape_Others,2014,74
Arunachal Pradesh,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,10
Arunachal Pradesh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,91
Arunachal Pradesh,3.1 - Kidnaping & Abduction Section 363 IPC,2014,25
Arunachal Pradesh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,1
Arunachal Pradesh,3.3 - Kidnapping for Ransom Section 364A,2014,1
Arunachal Pradesh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,20
Arunachal Pradesh,3.5 - Kidnapping & Abduction of Women-Other,2014,44
Arunachal Pradesh,4 - Dowry Deaths (Section 304-B IPC),2014,1
Arunachal Pradesh,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,121
Arunachal Pradesh,5.1 - Sexual Harassment,2014,21
Arunachal Pradesh,5.2 - Assault on women with intent to Disrobe,2014,0
Arunachal Pradesh,5.3 - Voyeurism,2014,6
Arunachal Pradesh,5.4 - Stalking,2014,1
Arunachal Pradesh,5.5 - Others,2014,93
Arunachal Pradesh,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,3
Arunachal Pradesh,6.1 - At Office premises,2014,0
Arunachal Pradesh,6.2 - Other places related to work,2014,0
Arunachal Pradesh,6.3 - In Public Transport system,2014,0
Arunachal Pradesh,6.4 - in Other Places,2014,3
Arunachal Pradesh,7 - Cruelty by Husband or his Relatives (Section 498A),2014,42
Arunachal Pradesh,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0
