State,Year,Crime_Head,Count
Puducherry,2019,Rape,10
Andhra Pradesh,2020,Rape,1095
Arunachal Pradesh,2020,Rape,60
Assam,2020,Rape,1657
Bihar,2020,Rape,806
Chhattisgarh,2020,Rape,1210
Goa,2020,Rape,60
Gujarat,2020,Rape,486
Haryana,2020,Rape,1373
Himachal Pradesh,2020,Rape,331
Jammu & Kashmir,2020,Rape,1321
Jharkhand,2020,Rape,504
Karnataka,2020,Rape,637
Kerala,2020,Rape,2339
Madhya Pradesh,2020,Rape,2061
Maharashtra,2020,Rape,32
Manipur,2020,Rape,67
Meghalaya,2020,Rape,33
Mizoram,2020,Rape,4
Nagaland,2020,Rape,1211
Odisha,2020,Rape,502
Punjab,2020,Rape,5310
Rajasthan,2020,Rape,12
Sikkim,2020,Rape,389
Tamil Nadu,2020,Rape,764
Telangana,2020,Rape,79
Tripura,2020,Rape,2769
Uttar Pradesh,2020,Rape,487
Uttarakhand,2020,Rape,1128
West Bengal,2020,Rape,2
A & N Islands,2020,Rape,60
Chandigarh,2020,Rape,4
D&N Haveli,2020,Rape,997
Daman & Diu,2020,Rape,243
Delhi UT,2020,Rape,2
Lakshadweep,2020,Rape,3
Puducherry,2020,Rape,8
Andhra Pradesh,2021,Rape,1188
Arunachal Pradesh,2021,Rape,83
Assam,2021,Rape,1733
Bihar,2021,Rape,786
Chhattisgarh,2021,Rape,1093
Goa,2021,Rape,72
Gujarat,2021,Rape,589
Haryana,2021,Rape,1716
Himachal Pradesh,2021,Rape,358
Jammu & Kashmir,2021,Rape,1425
Jharkhand,2021,Rape,555
Karnataka,2021,Rape,771
Kerala,2021,Rape,2947
Madhya Pradesh,2021,Rape,2496
Maharashtra,2021,Rape,26
Manipur,2021,Rape,75
Meghalaya,2021,Rape,26
Mizoram,2021,Rape,4
Nagaland,2021,Rape,1456
Odisha,2021,Rape,464
Punjab,2021,Rape,6337
Rajasthan,2021,Rape,8
Sikkim,2021,Rape,422
Tamil Nadu,2021,Rape,823
Telangana,2021,Rape,61
Tripura,2021,Rape,2845
Uttar Pradesh,2021,Rape,534
Uttarakhand,2021,Rape,1123
West Bengal,2021,Rape,15
A & N Islands,2021,Rape,74
Chandigarh,2021,Rape,3
D&N Haveli,2021,Rape,1250
Daman & Diu,2021,Rape,315
Delhi UT,2021,Rape,2
Lakshadweep,2021,Rape,0
Puducherry,2021,Rape,2
ANDHRA PRADESH,2001,K&A,765
ARUNACHAL PRADESH,2001,K&A,55
ASSAM,2001,K&A,1070
BIHAR,2001,K&A,518
CHHATTISGARH,2001,K&A,171
GOA,2001,K&A,6
GUJARAT,2001,K&A,857
HARYANA,2001,K&A,297
HIMACHAL PRADESH,2001,K&A,105
JAMMU & KASHMIR,2001,K&A,504
JHARKHAND,2001,K&A,279
KARNATAKA,2001,K&A,271
KERALA,2001,K&A,97
MADHYA PRADESH,2001,K&A,668
MAHARASHTRA,2001,K&A,611
MANIPUR,2001,K&A,62
MEGHALAYA,2001,K&A,11
MIZORAM,2001,K&A,1
NAGALAND,2001,K&A,6
ODISHA,2001,K&A,434
PUNJAB,2001,K&A,324
RAJASTHAN,2001,K&A,2165
SIKKIM,2001,K&A,2
TAMIL NADU,2001,K&A,607
TRIPURA,2001,K&A,35
UTTAR PRADESH,2001,K&A,2879
UTTARAKHAND,2001,K&A,126
WEST BENGAL,2001,K&A,695
A & N ISLANDS,2001,K&A,2
CHANDIGARH,2001,K&A,50
D & N HAVELI,2001,K&A,2
DAMAN & DIU,2001,K&A,3
LAKSHADWEEP,2001,K&A,0
PUDUCHERRY,2001,K&A,3
ANDHRA PRADESH,2002,K&A,854
ARUNACHAL PRADESH,2002,K&A,38
ASSAM,2002,K&A,1276
BIHAR,2002,K&A,744
CHHATTISGARH,2002,K&A,154
GOA,2002,K&A,5
GUJARAT,2002,K&A,807
HARYANA,2002,K&A,290
HIMACHAL PRADESH,2002,K&A,116
JAMMU & KASHMIR,2002,K&A,596
JHARKHAND,2002,K&A,178
KARNATAKA,2002,K&A,300
KERALA,2002,K&A,91
MADHYA PRADESH,2002,K&A,639
MAHARASHTRA,2002,K&A,650
MANIPUR,2002,K&A,82
MEGHALAYA,2002,K&A,10
MIZORAM,2002,K&A,2
NAGALAND,2002,K&A,4
ODISHA,2002,K&A,432
PUNJAB,2002,K&A,354
RAJASTHAN,2002,K&A,2019
SIKKIM,2002,K&A,2
TAMIL NADU,2002,K&A,714
TRIPURA,2002,K&A,48
UTTAR PRADESH,2002,K&A,2298
UTTARAKHAND,2002,K&A,155
WEST BENGAL,2002,K&A,694
A & N ISLANDS,2002,K&A,1
CHANDIGARH,2002,K&A,47
D & N HAVELI,2002,K&A,5
DAMAN & DIU,2002,K&A,2
LAKSHADWEEP,2002,K&A,0
PUDUCHERRY,2002,K&A,6
ANDHRA PRADESH,2003,K&A,931
ARUNACHAL PRADESH,2003,K&A,51
ASSAM,2003,K&A,1351
BIHAR,2003,K&A,674
CHHATTISGARH,2003,K&A,149
GOA,2003,K&A,13
GUJARAT,2003,K&A,859
